Variant,SimThroughput_bph,TimeToFirstOut_s,Energy_kWh_per_bowl,MeanPower_kW,PeakPower_kW,SimRetention,WorstFault,FaultEndMode
HyperCook,308.369574436005,119,1.55441189102398,479.333333333348,479.333333333331,7.84050535243649e-55,InlineQCScanner (serial single-string),1
LeanBroth,196.847674091333,3440.81688003152,0.813382737383583,160.110956811554,239,1.75374002179837e-42,PrepWorkstation (serial single-string),1
EverSimmer,231.899158858851,3436,1.21092864120415,280.811415081239,363,0.672627864250803,ProductionCell1 (one of three cells),2
